"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L12A","12","M","9","M","C","NA","NA","1","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.3","37.0","37.6","37.8","37.6","37.1","36.8","36.8","37.2","37.7","38.1","37.9","37.7","37.5","37.9","37.8","38.5","38.0","NA","38.5","38.1","38.1","38.4","37.6","39.2","37.7","38.0","38.6","38.2","38.1","38.7","38.8","38.8","NA","NA","NA"
"L12B","12","M","9","M","L","NA","NA","0","1","28","56","0","0","0","1","0","0","0","1","37.1","37.1","37.6","37.6","37.8","37.4","37.6","37.3","37.3","37.8","37.6","38.4","37.9","38.2","38.0","37.9","38.5","38.1","39.2","38.1","38.2","38.1","37.8","38.6","38.6","38.5","37.8","38.9","38.4","38.1","38.1","38.9","38.5","38.5","38.8","38.7"
"L12C","12","M","9","F","L","NA","NA","0","1","56","NA","0","0","0","0","0","0","0","0","37.2","37.0","37.7","37.4","37.3","37.7","37.5","36.7","37.0","37.7","37.9","37.8","37.6","38.0","37.8","37.9","38.6","37.3","38.0","38.1","37.8","38.3","38.3","38.3","38.2","38.1","38.6","38.7","38.3","38.5","38.3","38.4","38.9","38.4","40.2","39.0"
"L12D","12","M","9","F","C","NA","NA","0","1","40","NA","0","0","0","1","0","0","0","1","36.9","37.0","37.3","37.3","37.6","37.3","37.2","37.6","37.0","37.9","37.6","37.9","37.9","37.8","38.3","37.9","38.2","38.0","38.4","38.5","38.2","38.5","38.3","38.8","38.0","38.6","38.0","38.6","38.5","38.0","38.1","38.9","36.6","38.5","38.7","NA"
"L12E","12","M","9","M","L","NA","NA","0","0","NA","NA","0","0","0","1","0","0","0","1","37.4","37.7","37.8","37.1","37.3","37.6","37.4","37.4","37.5","38.1","37.8","38.6","38.1","38.5","38.4","38.2","38.5","38.1","38.5","39.3","38.4","38.9","38.5","38.8","38.8","38.4","38.0","38.6","38.5","38.3","38.3","39.0","38.8","38.5","39.7","39.5"
"L12F","12","M","9","M","L","NA","NA","0","1","47","NA","0","0","0","0","0","0","0","0","37.7","37.4","37.6","37.4","37.6","37.4","37.1","36.8","37.8","37.8","37.8","37.4","37.8","38.0","37.5","37.9","38.5","38.2","38.8","38.5","38.6","38.2","38.2","38.4","38.4","38.4","38.1","38.8","39.0","38.6","38.6","38.2","39.1","38.2","39.0","38.1"
"L12G","12","M","9","M","C","NA","NA","0","1","39","NA","1","0","0","0","0","1","0","1","37.0","37.5","37.6","37.4","37.9","37.3","37.4","36.9","37.7","37.6","37.4","37.4","37.7","38.1","38.5","38.2","38.4","38.2","NA","NA","NA","37.9","38.0","37.8","37.2","37.4","37.6","38.1","38.5","38.4","37.9","39.0","38.4","38.1","38.1","39.3"
"L12H","12","M","9","F","C","NA","NA","0","1","56","NA","0","0","1","0","0","0","1","1","37.1","37.0","37.0","37.3","37.4","37.3","37.2","36.9","37.1","37.7","37.7","37.8","38.0","38.1","38.0","37.3","38.3","37.7","38.3","38.3","38.1","38.1","38.4","38.4","38.3","38.2","37.4","38.2","38.7","38.3","38.1","38.7","38.9","38.5","38.3","39.3"
"L12I","12","M","9","F","L","NA","NA","1","1","56","NA","0","NA","0","1","0","1","NA","1","37.1","37.2","37.6","37.6","37.6","37.4","NA","37.1","37.8","37.8","37.7","37.8","37.8","38.2","38.0","37.9","38.8","38.3","38.4","NA","38.3","38.6","38.7","38.9","38.5","38.7","38.4","38.6","39.0","38.6","37.8","38.6","38.5","39.5","39.3","38.8"
"L13A","13","S","6","M","C","NA","NA","0","1","56","NA","0","0","0","0","0","0","0","0","37.0","37.8","37.1","37.0","37.3","37.4","37.1","37.3","37.5","37.8","37.8","38.0","NA","37.3","37.6","37.7","37.7","38.1","37.9","37.7","38.0","38.2","38.4","37.5","37.9","38.0","38.0","38.7","37.9","38.4","38.8","38.7","38.4","38.1","39.0","39.3"
